REF_DATE,Alberta,British Columbia,Canada,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
2000,8.402977667493797,6.516774193548387,10.105828571428573,5.7106382978723405,7.342643678160919,,,9.75108273181566,,7.211405529953917,9.03083247687564,4.764065449968533,10.12697819314642,
2001,8.419454094292805,6.692903225806451,10.433142857142856,6.07340425531915,7.240459770114943,,,9.5611882287618,,7.735599078341013,9.388489208633093,4.699748269351792,11.074267912772587,
2002,8.238213399503723,6.774193548387096,10.228571428571428,5.851063829787234,7.2988505747126435,,,9.494725152692949,,7.488479262672811,8.941418293936279,4.594084329767148,11.277258566978194,
2003,9.819950372208435,7.221290322580645,11.036628571428572,6.13776595744681,7.773275862068965,,,10.235313714603,,8.117511520737327,9.942857142857145,4.83297671491504,11.92006230529595,
2004,10.198908188585609,7.736129032258065,11.783314285714289,6.576595744680852,8.349885057471266,,,11.0423653525819,,8.641705069124425,10.801233299075024,5.21887979861548,12.641806853582557,
2005,11.22044665012407,8.345806451612903,12.918685714285711,7.348936170212767,9.211149425287356,,,12.438089950027765,,9.525345622119817,12.50010277492292,5.664505978602894,13.67931464174455,
2006,11.75593052109181,8.738709677419354,13.583542857142858,7.694148936170213,9.50310344827586,,,13.150194336479734,,10.12442396313364,13.108119218910584,5.889616110761483,14.3785046728972,
2007,12.604466501240696,8.901290322580644,13.90062857142857,7.904787234042553,9.96293103448276,,,13.121710161021657,,10.184331797235023,13.465775950668036,6.068785399622403,14.919813084112151,
2008,14.194441687344916,9.748064516129032,15.271257142857143,8.601063829787234,10.867988505747126,,,14.87823431426985,,11.082949308755762,15.73689619732785,6.684392699811201,15.867102803738316,
2009,11.409925558312656,8.643870967741934,13.215314285714284,7.623936170212767,9.495804597701149,,,12.817878956135482,,9.600230414746544,13.206474820143882,5.8574575204531145,14.491277258566978,
2010,11.780645161290323,9.361935483870964,14.094971428571428,7.653191489361703,10.116206896551724,,,13.52048861743476,,10.401497695852536,14.279445015416236,6.220390182504719,14.716822429906545,
2011,13.7166253101737,10.276451612903225,15.823599999999995,8.41968085106383,11.378908045977012,,,15.656801776790672,,11.599654377880189,16.040904419321684,7.047325361862805,16.05881619937695,
2012,13.444764267990074,10.513548387096773,16.089542857142856,8.501595744680852,11.70735632183908,,,16.58728484175458,,11.756912442396317,16.559506680369985,7.28162366268093,16.013707165109036,
2013,13.658957816377171,10.669354838709676,16.3248,8.753191489361702,11.692758620689654,,,16.758189894503055,,12.019009216589865,17.292702980472765,7.327564505978602,16.013707165109036,
2014,14.128535980148884,10.967419354838707,16.907828571428574,8.876063829787235,11.911724137931031,,,17.280399777901167,,12.685483870967744,17.695066803699895,7.396475770925109,16.6001246105919,
2015,12.077220843672457,10.26967741935484,15.291714285714283,8.015957446808512,10.63442528735632,,,14.9446973903387,,11.629608294930875,14.958992805755395,6.638451856513529,15.404735202492212,
2016,11.187493796526056,9.978387096774194,14.83142857142857,7.781914893617022,10.393563218390806,,,14.042698500832872,,11.524769585253456,14.109558067831449,6.358212712397734,14.728099688473522,
2017,12.349081885856082,10.798064516129031,15.619028571428569,8.056914893617021,11.159942528735632,,,14.954192115491391,,11.82430875576037,15.13782117163412,6.707363121460037,15.55133956386293,
2018,14.177965260545909,11.597419354838708,16.662342857142857,8.817553191489361,11.889827586206897,,,16.18850638534148,,12.213709677419356,16.65786228160329,7.1392070484581485,17.051214953271028,
2019,13.683672456575684,11.732903225806451,16.294114285714286,8.88776595744681,11.89712643678161,,,15.989117157134928,,11.869239631336406,16.023021582733808,6.891126494650722,16.882056074766354,
2020,13.172903225806454,10.804838709677416,15.05645714285714,8.138829787234043,10.76580459770115,,,14.052193225985564,,10.955645161290324,13.74295991778006,6.275519194461924,15.96859813084112,
2021,16.6,12.6,17.9,9.9,12.7,,,17.1,,13.0,17.4,7.3,18.1,
2022,20.06828784119107,15.133548387096772,21.93005714285714,12.339893617021277,15.561149425287358,,,22.037257079400337,,15.98041474654378,23.918293936279547,8.935494021397103,22.328971962616823,
